study,mean,median,std,q25,q75,q95,min,max
Zhou et al. 2014 - PFBS,37.064994515291055,25.831763563937344,37.97827087250861,14.26868066223466,45.93441095346471,104.60244919686109,0.6669733471271483,606.3644858529699
Olsen et al. 2009 - PFBS,734.7482744239566,598.0617246885683,553.7215872630787,385.3402488251609,913.7923201264034,1722.1822666156352,43.987942933847805,11011.793102304044
He et al. 2023 - PFBS,119.77180633599401,65.39944228489482,179.31514317659722,30.243303034632653,140.221284886844,400.1182303031362,0.709741594411025,3552.3392043889653
Zhou et al. 2014 - PFHxA,23.191277847738608,19.60238054476509,14.695512591714252,13.277388492741965,28.88763551058116,50.67328079397553,1.8901669011000615,165.1865757665249
