"scenario","solver","analytical_final","numerical_final","relative_error","n_timepoints"
"Scenario1","lsoda",36.7879441171442,36.7879447247121,1.65154081589998e-08,11
"Scenario2","lsoda",36.7879441171442,36.7879443128385,5.31952177199041e-09,101
"Scenario3","lsoda",5.51133808058452e-78,6.54881547779011e-75,1187.24419442902,1826
