time_days,n_subjects,mean_ng_ml,sd_ng_ml
0.0,6,397.0,281.24366659535644
5.0,6,334.5,220.5400190441635
60.0,6,95.16666666666667,73.44499075271686
180.0,3,17.333333333333332,9.291573243177568
