Compound,Tissue,Partition_Coefficient
PFBS,liver,0.4586644257487883
PFBS,adipose,0.39589526935390756
PFBS,kidney,0.4538929435691557
PFBS,gut,0.4086258303272437
PFBS,lung,0.6734796493573074
PFBS,brain,0.021633908152008142
PFBS,rest of body,0.433632357983686
PFHxS,liver,0.4875311461868602
PFHxS,adipose,0.25411638364983086
PFHxS,kidney,0.4518008078177986
PFHxS,gut,0.37851453657006906
PFHxS,lung,0.7955859223619911
PFHxS,brain,0.009382136259826077
PFHxS,rest of body,0.4393499112215733
