scenario,analytical_final,solver,n_timepoints,numerical_final,relative_error
Scenario1,36.787944117144235,Tsit5,11,36.78794412104214,1.0595597386056649e-10
Scenario2,36.787944117144235,Tsit5,101,36.78794412104214,1.0595597386056649e-10
Scenario3,5.511338080584515e-78,Tsit5,1826,4.371229140604052e-12,7.931339135233114e65
