Study,Half_life_days,Estimated_Intake_ng_kg_bw_day
Xu_2020,1496.5,0.5511828565762344
Xu_2020,146.0,5.649624279906403
Xu_2020,182.5,4.519699423925123
Xu_2020,693.5,1.1893945852434533
Xu_2020,73.0,11.299248559812806
Xu_2020,109.5,7.532832373208539
Xu_2020,219.0,3.7664161866042694
Xu_2020,109.5,7.532832373208539
Russel_2013,31.0,26.607907898914025
Russel_2013,45.0,18.329892108140776
Russel_2013,14.0,58.917510347595346
Russel_2013,25.0,32.9938057946534
Russel_2013,48.0,17.184273851381977
Russel_2013,33.0,24.995307420191967
Russel_2013,49.0,16.83357438502724
Abraham_2024,1.45,568.8587205974724
